,Unnamed: 0,keyword,location,polarity,date,quater
1750452,1750452,ГАЗ,Belarus,0.27659574470000003,2018-10-21,4
1751133,1751133,Газпром,Belarus,0.0256410256,2018-11-21,4
1751134,1751134,ГАЗ,Belarus,0.0256410256,2018-11-21,4
1751135,1751135,Газпром,Belarus,0.0,2018-11-21,4
1751136,1751136,Газпром,Belarus,0.2,2018-11-21,4
1751137,1751137,Газпром,Belarus,0.6666666667000001,2018-11-21,4
1751138,1751138,ГАЗ,Belarus,0.6666666667000001,2018-11-21,4
1751140,1751140,Газпром,Belarus,0.0769230769,2018-11-21,4
1751141,1751141,Газпром,Belarus,-0.6363636364,2018-11-21,4
1751142,1751142,ГАЗ,Belarus,-0.6363636364,2018-11-21,4
1751144,1751144,Газпром,Belarus,-0.14285714289999998,2018-11-21,4
1751145,1751145,Газпром,Belarus,0.2121212121,2018-11-20,4
1751146,1751146,ГАЗ,Belarus,0.2121212121,2018-11-20,4
1751148,1751148,Газпром,Belarus,0.1785714286,2018-11-20,4
1751149,1751149,Газпром,Belarus,0.15789473680000002,2018-11-20,4
1751150,1751150,Газпром,Belarus,-0.5,2018-11-20,4
1751152,1751152,Газпром,Belarus,-1.0,2018-11-20,4
1751154,1751154,Газпром,Belarus,0.0,2018-11-19,4
1751155,1751155,Газпром,Belarus,-0.0909090909,2018-11-19,4
1751157,1751157,Газпром,Belarus,0.3666666667,2018-11-19,4
1751159,1751159,ГАЗ,Belarus,0.3666666667,2018-11-19,4
1751161,1751161,Газпром,Belarus,0.4705882353,2018-11-19,4
1751162,1751162,Газпром,Belarus,0.0,2018-11-19,4
1751163,1751163,ГАЗ,Belarus,0.0,2018-11-19,4
1751164,1751164,Газпром,Belarus,-0.2631578947,2018-11-18,4
1751165,1751165,Газпром,Belarus,-0.33333333330000003,2018-11-18,4
1751166,1751166,Газпром,Belarus,0.0,2018-11-17,4
1751167,1751167,Газпром,Belarus,0.0,2018-11-17,4
1751168,1751168,Газпром,Belarus,0.33333333330000003,2018-11-17,4
1751169,1751169,Газпром,Belarus,1.0,2018-11-17,4
1751171,1751171,Газпром,Belarus,1.0,2018-11-17,4
1751173,1751173,Газпром,Belarus,-0.33333333330000003,2018-11-17,4
1751174,1751174,Газпром,Belarus,1.0,2018-11-17,4
1751175,1751175,Газпром,Belarus,-0.5,2018-11-17,4
1751176,1751176,Газпром,Belarus,0.4,2018-11-17,4
1751177,1751177,Газпром,Belarus,0.2631578947,2018-11-16,4
1751178,1751178,ГАЗ,Belarus,0.2631578947,2018-11-16,4
1751179,1751179,Газпром,Belarus,0.2631578947,2018-11-16,4
1751180,1751180,ГАЗ,Belarus,0.2631578947,2018-11-16,4
1751181,1751181,Газпром,Belarus,0.4117647059,2018-11-16,4
1751183,1751183,Газпром,Belarus,0.7142857143000001,2018-11-16,4
1751184,1751184,Газпром,Belarus,0.0,2018-11-16,4
1751185,1751185,ГАЗ,Belarus,0.0,2018-11-16,4
1751186,1751186,Газпром,Belarus,0.0,2018-11-15,4
1751187,1751187,Газпром,Belarus,0.6000000000000001,2018-11-15,4
1751191,1751191,Газпром,Belarus,0.0,2018-11-15,4
